No.;Tanggal;created_date;kota_kab_pelapor;propinsi_pelapor;klasifikasi_pelapor;jabatan_terlapor;kota_kab_terlapor;propinsi_terlapor;id_substansi;id_dugaan_maladministrasi;ringkasan_laporan;id_kantor;kode_kabupaten;kode_prov
15;02/01/14 00.00;14/05/14 14.04;;SULAWESI SELATAN;Perorangan/Korban Langsung;Penyidik Polda Sulsel;;SULAWESI SELATAN;;Tidak Memberikan Pelayanan;1. Sertifikat Tanah yang disalah gunakan oleh Jamaluddin Dg. Se're, H. Kemal bin Mustafa, Mahbud bin H. Marhaban, 2. Pelapor, a.n Qaimoeddin Djafar dibawa ke notaris oleh Jamaluddin Dg. Se're , dkk untuk menandatangani surat -surat yang tidak diketahui pe? ?Item?A? ?;Kantor Perwakilan Sulawesi Selatan;;7371
16;02/01/14 00.00;14/05/14 14.04;;SULAWESI SELATAN;Lain-Lain;Kepala Desa Topejawa;;SULAWESI SELATAN;;Tidak Memberikan Pelayanan;1. Pelapor mewakili ahli waris Alm. Djahameng Dg. Manassa dan Almh. Sohora Dg. Rampu, 2. Pelapor sudah beberapa kali melayangkan surat kepada Kepala Desa dan juga Kepala Bagian Pemerintahan Kab. Takalar, 3. semua surat tidak direspon.  ;Kantor Perwakilan Sulawesi Selatan;;7371
17;02/01/14 00.00;14/05/14 14.04;;SULAWESI TENGGARA;Perorangan/Korban Langsung;BKD Sultra;;SULAWESI TENGGARA;;Penyimpangan Prosedur;pelapor keberatan dinyantakan tidak memenuhi passing grade sedangkan nilai terlapor lebih tinggi;Kantor Perwakilan Sulawesi Tenggara;;7471
18;02/01/14 00.00;14/05/14 14.04;;SULAWESI TENGGARA;Perorangan/Korban Langsung;BKD Kab. Buton;;SULAWESI TENGGARA;;Penyimpangan Prosedur;Mutasi Kepala sekolah;Kantor Perwakilan Sulawesi Tenggara;;7471
19;02/01/14 00.00;14/05/14 14.04;;SULAWESI TENGGARA;Perorangan/Korban Langsung;BKD Sultra;;SULAWESI TENGGARA;;Permintaan Imbalan Uang, Barang dan Jasa;pelapor dinyatakan lulus CPNS Prov. Sultra akan tetapi ada oknum di BKD Sultra yang meminta sejumlah uang Rp. 15 jutauntuk pengurusan kelulusan;Kantor Perwakilan Sulawesi Tenggara;;7471
20;02/01/14 00.00;14/05/14 14.04;;SULAWESI TENGAH;Perorangan/Korban Langsung;Kantor Pertanahan Palu;;SULAWESI TENGAH;;Penundaan Berlarut;Dugaan penundaan berlarut dalam proses pemecahan sertifikat atas nama pelapor dengan nomor sertifikat 74;Ombudsman Republik Indonesia (Jakarta);;7271
21;02/01/14 00.00;14/05/14 14.04;;JAWA TIMUR;Perorangan/Korban Langsung;PT. Pegadaian;;JAWA TIMUR;;Penyalahgunaan Wewenang;Dugaan adanya pemotongan uang pesangon (uang kompensasi PHK) sebesar Rp 101.652.000 oleh PT. Pegadaian (Persero);Ombudsman Republik Indonesia (Jakarta);;7835
22;02/01/14 00.00;14/05/14 14.04;;KEPULAUAN BANGKA BELITUNG;Perorangan/Korban Langsung;Mahkamah Agung RI;;DKI JAKARTA;;Penundaan Berlarut;Belum dipenuhinya pembebasan bersyarat terpidana Indra Ernanda berdasarkan putusan Pengadilan Tipikor pada PN Pangkal Pinang No. II/Pid.B/TPK/2012/PN.PKP;Ombudsman Republik Indonesia (Jakarta);;3173
23;02/01/14 00.00;14/05/14 14.04;;JAWA TIMUR;Perorangan/Korban Langsung;Polrestabes Surabaya;;JAWA TIMUR;;Berpihak;Dugaan keberpihakan dalam penyidikan laporan polisi No: LP/K/294/B/II/2013/SPKT/JATIM/RESTABES tanggal 27 Februari 2013 mengenai dugaan tindak pidana pemalsuan surat;Ombudsman Republik Indonesia (Jakarta);;7835
24;02/01/14 00.00;14/05/14 14.04;;SUMATERA SELATAN;Lembaga Swadaya Masyarakat;Dinas Pendidikan Kab. Musi Rawas;;SUMATERA SELATAN;;Tidak Kompeten;Dugaan pemberian dana rehabilitasi kelas SDN 1A Widodo Tugu Mulyo yang tidak tepat sasaran disertai pengawasan terhadap penggunaan dana yang lemah;Ombudsman Republik Indonesia (Jakarta);;1671
25;02/01/14 00.00;14/05/14 14.04;;SUMATERA SELATAN;Lembaga Swadaya Masyarakat;Bareskrim Mabes Polri;;DKI JAKARTA;;Penundaan Berlarut;Belum ditanggapinya surat pelapor No. 104/R/LSM/X/2012 tanggal 18 September 2012 kepada Bareskrim Mabes Polri;Ombudsman Republik Indonesia (Jakarta);;3173
26;02/01/14 00.00;14/05/14 14.04;;JAWA TIMUR;Perorangan/Korban Langsung;PT. Pegadaian;;JAWA TIMUR;;Penyalahgunaan Wewenang;  Dugaan pemotongan uang pesangon (uang kompensasi PHK) sebesar Rp. 77.480.130 oleh PT. Pegadaian  ;Ombudsman Republik Indonesia (Jakarta);;7835
27;02/01/14 00.00;14/05/14 14.04;;JAWA TIMUR;Perorangan/Korban Langsung;PT. Pegadaian;;JAWA TIMUR;;Penyalahgunaan Wewenang;Dugaan pemotongan uang pesangon (uang kompensasi PHK) sebesar Rp. 14.206.100 oleh PT. Pegadaian;Ombudsman Republik Indonesia (Jakarta);;7835
28;02/01/14 00.00;14/05/14 14.04;;SUMATERA BARAT;Perorangan/Korban Langsung;Kantor Pertanahan Kab. Lima Puluh;;SUMATERA BARAT;;Penyalahgunaan Wewenang;Dugaan penyalahgunaan wewenang dalam proses penerbitan sertifikat atas tanah seluas 3176 m2 di Kenagarian Sarilamak Kec. Harau yang diajukan oleh Sdr. Syafri;Ombudsman Republik Indonesia (Jakarta);;1371
29;02/01/14 00.00;14/05/14 14.04;LOMBOK BARAT;NUSA TENGGARA BARAT;Perorangan/Korban Langsung;Camat Batulayar;LOMBOK BARAT;NUSA TENGGARA BARAT;Perijinan (PTSP);Tidak Memberikan Pelayanan;1.Bahwa Pelapor adalah Pemilik dan pengelola Sonya Home Stay mengajukan Surat Ijin Tempat Usaha pada Badan Penanaman Modal dan Pelayanan Perijinan Terpadu Kabupaten Lombok Barat dengan melengkapi persyaratan yang telah ditentukan tertanggal 28 Mei 2013.?;Kantor Perwakilan Nusa Tenggara Barat;5201;5271
30;02/01/14 00.00;14/05/14 14.04;LOMBOK UTARA;NUSA TENGGARA BARAT;Perorangan/Korban Langsung;Ketua Panwaslu Kabupaten Lombok Utara;LOMBOK UTARA;NUSA TENGGARA BARAT;Kepegawaian;Permintaan Imbalan Uang, Barang dan Jasa;Panwaslu Kabupaten Lombok Utara melakukan pemotongan terhadap honor bulan November dan Desember Petugas Pengawas Lapangan Desa  sebesar Rp.150.000;Kantor Perwakilan Nusa Tenggara Barat;5208;5271
31;02/01/14 00.00;14/05/14 14.04;KOTA MATARAM;NUSA TENGGARA BARAT;Keluarga Korban;Sekretaris Daerah Kabupaten Bima;KOTA BIMA;NUSA TENGGARA BARAT;Pemukiman/Perumahan;Penyimpangan Prosedur;1.Bahwa Pelapor adalah penghuni Rumah Dinas Golongan III Milik Pemerintah Kabupaten Bima yang berada di Kelurahan Panggi Kecamatan Mpunda Kota Bima dan telah menempati rumah dinas tersebut sejak tahun 1986 dan 1987.2.Bahwa Pemerintah Kabupaten Bima ber?;Kantor Perwakilan Nusa Tenggara Barat;5272;5271
32;02/01/14 00.00;14/05/14 14.04;KOTA PADANG;SUMATERA BARAT;Perorangan/Korban Langsung;Kepala;KOTA PADANG;SUMATERA BARAT;Kepegawaian;Penyalahgunaan Wewenang;Dugaan bertindak sewenang-wenang dalam memberhentikan pelapor sebagai petugas kebersihan di Pemko Padang dan tidak memberikan hak pelapor sebagaimana mestinya ;Kantor Perwakilan Sumatera Barat;1371;1371
33;02/01/14 00.00;14/05/14 14.04;KOTA PADANG;SUMATERA BARAT;Perorangan/Korban Langsung;Kepala;KOTA PADANG;SUMATERA BARAT;Kepegawaian;Penyalahgunaan Wewenang;Dugaan bertindak sewenang-wenang dalam memberhentikan pelapor sebagai petugas trantib di Pemko Padang dan tidak memberikan hak pelapor sebagaimana mestinya;Kantor Perwakilan Sumatera Barat;1371;1371
34;02/01/14 00.00;14/05/14 14.04;;#N/A;Perorangan/Korban Langsung;Kepala BKPP;KOTA BANDA ACEH;ACEH;Kepegawaian;Tidak Kompeten;"Dugaan Maladministrasi dalam penyelenggaraan pelayanan publik rekruitment CPNS formasi umum di jajaran Pemerintah Aceh dan Kabupaten/Kota di Aceh yang diselenggarakan oleh Kementrian PAN &amp; RB RI dan BKPP (Badan Kepegawaian, Pendidikan dan Pelatihan) A";Kantor Perwakilan Aceh;1171;1171
35;02/01/14 00.00;14/05/14 14.04;;#N/A;Perorangan/Korban Langsung;Pemerintah Kabupaten ABDYA;ACEH BARAT DAYA;ACEH;Kepegawaian;Tidak Patut;Dugaan Maladministrasi dalam Penyelenggaraan Pelayanan Publik rekruitment CPNS Formasi umum di jajaran Pemerintah Kabupaten Aceh Barat Daya;Kantor Perwakilan Aceh;1112;1171
36;02/01/14 00.00;14/05/14 14.04;;#N/A;Perorangan/Korban Langsung;"Menteri PAN &amp; RB RI";JAKARTA PUSAT;DKI JAKARTA;Kepegawaian;Tidak Patut;Dugaan maladministrasi dalam ketidakjelasan informasi penyelenggaraan pelayanan publikreuitment CPNS formasi umum di jajaran Pemerintah Aceh dan Kabupaten/Kota di Aceh;Kantor Perwakilan Aceh;3173;3173
37;02/01/14 00.00;14/05/14 14.04;KOTA PALEMBANG;SUMATERA SELATAN;Kelompok Masyarakat;Direksi;KOTA PALEMBANG;SUMATERA SELATAN;Ketenagakerjaan;Penyalahgunaan Wewenang;PHK sepihak dan tanpa pesangon 95 orang pekerja pencatat meteran listrik pada September 2009, padahal mereka sudah bekekerja di PLN WS2JB dari tahun 1980  sampai 2009.;Kantor Perwakilan Sumatera Selatan;1671;1671
38;02/01/14 00.00;14/05/14 14.04;;SUMATERA SELATAN;Perorangan/Korban Langsung;;KOTA PALEMBANG;SUMATERA SELATAN;Kejaksaan;Konflik Kepentingan;Keberatan terhadap hasil pengumuman kelulusan tes CPNS Kejaksaan Tinggi Palembang 2013.Meminta bukti hukum dokumen hasil seleksi CPNS Kejaksaaan Tinggi Palembang 2013;Kantor Perwakilan Sumatera Selatan;1671;1671
39;02/01/14 00.00;14/05/14 14.04;KOTA BANDAR LAMPUNG;LAMPUNG;Inisiatif Investigasi;Direktur Poltekes Tanjungkarang ;KOTA BANDAR LAMPUNG;LAMPUNG;Pendidikan;Penyalahgunaan Wewenang;Molornya pekerjaan proyek pembangunan Gedung 2 Lantai di Poltekkes Tanjung Karang;Kantor Perwakilan Lampung;1871;1871
40;02/01/14 00.00;14/05/14 14.04;LAMPUNG SELATAN;LAMPUNG;Perorangan/Korban Langsung;Kapolres Lampung Selatan ;LAMPUNG SELATAN;LAMPUNG;Kepolisian;Permintaan Imbalan Uang, Barang dan Jasa;Permintaan uang yang tidak sesuai tarif pada pembuatan SKCK serta tindakan tidak patut dari petugas Intelkam Polres Lampung Selatan ;Kantor Perwakilan Lampung;1803;1871
41;02/01/14 00.00;14/05/14 14.04;KOTA BANDAR LAMPUNG;LAMPUNG;Keluarga Korban;Sekda Pesisir Barat ;PESISIR BARAT;LAMPUNG;Kepegawaian;Penyimpangan Prosedur;mempertanyakan dan menghkhawatirkan prosedur pengunduran diri  CPNSD Kabupaten Pesisir Barat Tahun 2013, sebab pelapor diminta untuk mengirimkan surat pengunduran diri yang ditujukan ke email dan alamat pribadi, sehingga khwatir bahwa surat pengunduran di;Kantor Perwakilan Lampung;1813;1871
42;02/01/14 00.00;14/05/14 14.04;KOTA BANDAR LAMPUNG;LAMPUNG;Media;Direktur Rumah Sakit Ryacudu ;LAMPUNG UTARA;LAMPUNG;Kesehatan;Penyalahgunaan Wewenang;Dugaan malpraktek pada operasi caesar yang mengakibatkan ibu dan meninggal dunia;Kantor Perwakilan Lampung;1806;1871
43;02/01/14 00.00;14/05/14 14.04;;KALIMANTAN TIMUR;Perorangan/Korban Langsung;Bupati;BULUNGAN;KALIMANTAN TIMUR;Perijinan (PTSP);Penundaan Berlarut;Laporan masyarakat terkait penerbitan Ijin Lokasi oleh Bupati Kab. Bulungan kepada PT. Sanjung Makmur yang telah merugikan PT. Rambay Panji Bersama Jaya.;Kantor Perwakilan Kalimantan Timur;6502;6471
44;02/01/14 00.00;14/05/14 14.04;;KALIMANTAN TIMUR;Perorangan/Korban Langsung;Ketua Pengadilan Agama;KUTAI KARTANEGARA;KALIMANTAN TIMUR;Peradilan;Penyimpangan Prosedur;"Terkait Sita Eksekusi dengan Berita Acara Penyitaan Eksekusi No. 596/Pdt.G/2010/PA.Tgr dengan pernyataan&quot;Berhasil dilaksanakan dan tanahnya sesuai dengan ukurannya, namun Pihak Tergugat (Hl. Siti Radiah binti H. Anang Idris) menolak menandatangani be";Kantor Perwakilan Kalimantan Timur;6403;6471
45;02/01/14 00.00;14/05/14 14.04;;KEPULAUAN RIAU;Media;;;KEPULAUAN RIAU;;Permintaan Imbalan Uang, Barang dan Jasa;Parkir di Jembatan I Barelang, Pengunjung di tarik biaya parkir, untuk sepeda motor RP. 7.000 dan untuk kendaraan roda 4 Rp. 15.000;Kantor Perwakilan Kepulauan Riau;;2171
46;02/01/14 00.00;14/05/14 14.04;;KEPULAUAN RIAU;Media;;;KEPULAUAN RIAU;;Tidak Patut;Kantor Kecamatan Ungar merupakan pemekaran dari Kecamatan Kundur yang telah dimekarkan selama 1 Tahun Namun hingga saat ini, sarana dan prasarana nya masih sangat minim dan kantor camatnya masih menumpang;Kantor Perwakilan Kepulauan Riau;;2171
47;02/01/14 00.00;14/05/14 14.04;;KEPULAUAN RIAU;Media;Direktur;;KEPULAUAN RIAU;;Diskriminasi;Pasien RSUD Karimun mengaku ditelantarkan, dan petugas RSUD menyuruh keluarga pasien membeli benang, karena di RSUD tidak ada benang;Kantor Perwakilan Kepulauan Riau;;2171
48;02/01/14 00.00;14/05/14 14.04;;KEPULAUAN RIAU;Lembaga Swadaya Masyarakat;;;KEPULAUAN RIAU;;Penyimpangan Prosedur;adanya indikasi maladministrasi atas standart pelayanan pada pelayanan Administrasi terpadu Kecamatan (PATEN);Kantor Perwakilan Kepulauan Riau;;2171
49;02/01/14 00.00;14/05/14 14.04;;BENGKULU;Lembaga Swadaya Masyarakat;Direktur Utama PDAM Kota Bengkulu;;BENGKULU;;Penyimpangan Prosedur;Dugaan penyimpangan prosedur dalam pemberian pinjaman uang pada kas PDAM Kota Bengkulu dan tidak kompeten dalam memberikan pelayanan;Kantor Perwakilan Bengkulu;;1771
50;02/01/14 00.00;14/05/14 14.04;;BENGKULU;Perorangan/Korban Langsung;Staf Dinas Tata Kota dan Pengawas Bangunan Bengkulu;;BENGKULU;;Penundaan Berlarut;Dugaan penundaan berlarut oleh Dinas Tata Kota dan Pengawas Bangunan Pemerintah Kota Bengkulu terhadap Izin Bangunan atas nama Arbin Wamit;Kantor Perwakilan Bengkulu;;1771
51;02/01/14 00.00;14/05/14 14.04;;#N/A;Keluarga Korban;Kepala Kantor ;KOTA PANGKALPINANG;KEPULAUAN BANGKA BELITUNG;Informasi Publik;Penyimpangan Prosedur;Pelapor telah berulangkali mempertanyakan hak suami pelapor atas hak pembebasan bersyarat serta hak remisi sebagaimana yang diatur dalam PP 99 Tahun 2012 kepada KemenKumHam babel namun tidak pernah didapat mengenai prosedur yang pasti atas cara memperoleh;Kantor Perwakilan Kepulauan Bangka Belitung;;1971
52;02/01/14 00.00;14/05/14 14.04;;#N/A;Perorangan/Korban Langsung;KEPALA BKD BANGKA BARAT;BANGKA BARAT;KEPULAUAN BANGKA BELITUNG;Kepegawaian;Penyimpangan Prosedur;Dugaan pengumuman hasil Seleksi CPNS Bangka Barat untuk Formasi Penyuluh Perikanan tidak sesuai dengan Publikasi Formasi dan telah meluluskan nama yang nilainya lebih rendah dari Pelapor.;Kantor Perwakilan Kepulauan Bangka Belitung;1903;1971
53;02/01/14 00.00;14/05/14 14.04;;BALI;Perorangan/Korban Langsung;;;BALI;;Penundaan Berlarut;surat penangkapan dan DPO tidak diproses oleh Polres Denpasar;Kantor Perwakilan Bali;;5171
54;02/01/14 00.00;21/05/14 16.39;;#N/A;Perorangan/Korban Langsung;Kepala Kantor Pertanahan Kota Magelang;KOTA MAGELANG;JAWA TENGAH;Pertanahan;Penyimpangan Prosedur;Dugaan penyimpangan prosedur dalam proses mediasi penyelesaian sengketa pertanahan;Kantor Perwakilan Jawa Tengah;3371;3374
55;03/01/14 00.00;14/05/14 14.04;;#N/A;Perorangan/Korban Langsung;Kepala Desa Tegorejo, Pegandon, Kendal;KENDAL;JAWA TENGAH;Pertanahan;Tidak Memberikan Pelayanan;Dugaan tindakan tidak memberikan pelayanan yang dilakukan oleh Kepala Desa Tegorejo, Kecamatan Pegandon Kabupaten Kendal pada proses pensertifikatan tanah yang dilakukan oleh Pelapor;Kantor Perwakilan Jawa Tengah;3324;3374
56;03/01/14 00.00;14/05/14 14.04;;SULAWESI SELATAN;Perorangan/Korban Langsung;Panitia Seleksi Penerimaan CPNS MA;;DKI JAKARTA;;Penyimpangan Prosedur;Pihak Panitia Seleksi CPNS Mahkamah Agung tidak transparan dalam hal Nilai Tes Kemampuan Bidang, sehingga, nama- nama yang lulus CPNS MA diragukan ;Kantor Perwakilan Sulawesi Selatan;;3173
57;03/01/14 00.00;14/05/14 14.04;;SULAWESI SELATAN;Perorangan/Korban Langsung;Panitia Seleksi BKD Sulawesi Selatan;;SULAWESI SELATAN;;Penyalahgunaan Wewenang;Pemerintah yang mengesampingkan azas keadilan, keterbukaan dalam penerimaan CPNSD;Kantor Perwakilan Sulawesi Selatan;;7371
58;03/01/14 00.00;14/05/14 14.04;KOTA MATARAM;NUSA TENGGARA BARAT;Inisiatif Investigasi;Kepala Dinas Perhubungan Provinsi NTB;KOTA MATARAM;NUSA TENGGARA BARAT;Kelautan;Penyimpangan Prosedur;Pada tanggal 3 Januari 2014, KMP Munawar tenggelam di selat alas yang menghubungkan Pelabuhan Kayang Kabupaten Lombok Timur dengan Pelabuhan Pototano Kabupaten Sumbawa Barat, bahwa kapal tersebut menurut DInas Perhubungan Provinsi NTB, memiliki Ijin Opear;Kantor Perwakilan Nusa Tenggara Barat;5271;5271
59;03/01/14 00.00;14/05/14 14.04;KOTA MATARAM;NUSA TENGGARA BARAT;Perorangan/Korban Langsung;Ketua Pengadilan Negeri Mataram;KOTA MATARAM;NUSA TENGGARA BARAT;Peradilan;Penundaan Berlarut;  Bahwa Pelapor selaku Pengguga dalam perkara Nomor 7/G/2013/PHI.PN.MTR tidak diberikan salinan putusan Pengadilan nomor7/G/2013/PHI.PN.MTR oleh pihak Pengadilan Negeri Mataram,. Pihak Pengadilan Negeri Matarm menjanjikan kepada Pelapor akan diberikan t?;Kantor Perwakilan Nusa Tenggara Barat;5271;5271
60;03/01/14 00.00;14/05/14 14.04;KOTA MATARAM;NUSA TENGGARA BARAT;Media;Kepala Sekolah;LOMBOK BARAT;NUSA TENGGARA BARAT;Pendidikan;Permintaan Imbalan Uang, Barang dan Jasa;Bahwa pihak SDN 1 Bengkel Kabupaten Lombok Barat menarik pungutan sebesar RP.120.000 kepada seluruh siswa (120 Siswa) penerima Beasiswa Siswa Miskin (BSM), bahawa pungutan tersebut untuk dibagikan kepada siswa yang tidak mampu yang tidak terakomodir dalam;Kantor Perwakilan Nusa Tenggara Barat;5201;5271
61;03/01/14 00.00;14/05/14 14.04;BANYUWANGI;JAWA TIMUR;Perorangan/Korban Langsung;Kepala Desa Sempu;BANYUWANGI;JAWA TIMUR;Administrasi Kependudukan;Tidak Memberikan Pelayanan;Kepala Desa Sempu diduga tidak memberikan pelayanan terkait permintaan Surat Keterangan Kematian a.n Suryoko (alm) dan Bpk. A. Dahlan (alm) selaku Nadzir Tanah Wakaf Masjid Jami&rsquo Al Ghufron);Kantor Perwakilan Jawa Timur;3510;7835
62;03/01/14 00.00;14/05/14 14.04;NGANJUK;JAWA TIMUR;Perorangan/Korban Langsung;Ketua DPRD Nganjuk;NGANJUK;JAWA TIMUR;Kepegawaian;Penyalahgunaan Wewenang;Ketua DPRD Nganjuk diduga telah melakukan penyalagunaan wewenang terkait tidak dilaksanakan Pergantian Antar Waktu (PAW) Anggota DPRD a.n H.M Djaelani Ishaq, dkk;Kantor Perwakilan Jawa Timur;3518;7835
63;03/01/14 00.00;14/05/14 14.04;KOTA SURABAYA;JAWA TIMUR;Lembaga Swadaya Masyarakat;Kepala Satpol PP Pemkot Surabaya;KOTA SURABAYA;JAWA TIMUR;Perijinan (PTSP);Diskriminasi;Kepala Satpol PP Pemkot Surabaya diduga melakukan diskriminasi terkait proses penertiban bangunan yang melanggar ijin  IMB sedangkan ada bangunan PT. GREGES JAYA yang melanggar IMB yang tidak ditertibkan.;Kantor Perwakilan Jawa Timur;3578;7835
64;03/01/14 00.00;14/05/14 14.04;;SULAWESI SELATAN;Perorangan/Korban Langsung;Kepala BKD Provinsi Sulawesi Selatan;;SULAWESI SELATAN;;Penyalahgunaan Wewenang;1. Pelapor mengecek hasil seleksi CPNS Provinsi Sulsel,  tenaga kebidanan. 2. Pelapor menemukan kejanggalan dimana Provinsi Jatim, Kabupaten Luwu Timur dan Kabupaten Bantaeng mengumumkan nama dan skor/nilai melalui web, namun Prov.sulsel tidak mengumumkan?;Kantor Perwakilan Sulawesi Selatan;;7371
65;03/01/14 00.00;14/05/14 14.04;KOTA AMBON;MALUKU;Perorangan/Korban Langsung;Kepala BPN Kota  Ambon;KOTA AMBON;MALUKU;Pertanahan;Penundaan Berlarut;adanya dugaan maladministrasi pada proses permintaan pembuatan sertifikat untuk tanah milik ayah Ibu Hani yang mana pihak BPN tidak memberikan kejelasan untuk proses pembuatan sertifikat tersebut dikarenakan ayah dari ibu hani telah meninggal dunia ;Kantor Perwakilan Maluku;8171;8171
66;03/01/14 00.00;14/05/14 14.04;;DAERAH ISTIMEWA YOGYAKARTA;Perorangan/Korban Langsung;Kepala;;DAERAH ISTIMEWA YOGYAKARTA;;Tidak Kompeten;Polantas tidak cermat dalam melakukan tilang terhadap pengendara sepeda motor;Kantor Perwakilan DI Yogyakarta;;3471
67;03/01/14 00.00;14/05/14 14.04;;DAERAH ISTIMEWA YOGYAKARTA;Perorangan/Korban Langsung;Kepala;;DAERAH ISTIMEWA YOGYAKARTA;;Permintaan Imbalan Uang, Barang dan Jasa;Proses mutasi kendaraan dipungut biaya tanpa kwitansi tanda terima;Kantor Perwakilan DI Yogyakarta;;3471
68;03/01/14 00.00;14/05/14 14.04;;JAWA TENGAH;Perorangan/Korban Langsung;Kepala;;JAWA TENGAH;;Penundaan Berlarut;Polres Pati tidak menindaklanjuti laporan masyarakat sebagaimana mestinya;Kantor Perwakilan DI Yogyakarta;;3374
69;03/01/14 00.00;14/05/14 14.04;KOTA YOGYAKARTA;DAERAH ISTIMEWA YOGYAKARTA;Media;Kepala;;DAERAH ISTIMEWA YOGYAKARTA;;Tidak Memberikan Pelayanan;Pemda Kulon Progo tidak memberikan perhatian terhadap sekolah yang kerap dilanda banjir;Kantor Perwakilan DI Yogyakarta;;3471
